time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,4.433298,+0.0001E-06NADC,294,294
0.6054632663726807,4.433315,+0.0000E-06NADC,294,294
1.185117483139038,4.433318,+0.0000E-06NADC,294,294
1.7857728004455566,4.433333,+0.0000E-06NADC,294,294
2.3863699436187744,4.433335,+0.0000E-06NADC,294,294
3.0068516731262207,4.433347,-0.0001E-06NADC,294,294
3.626610279083252,4.433353,+0.0006E-06NADC,294,294
4.227063894271851,4.433365,+0.0002E-06NADC,294,294
4.826420307159424,4.433373,-0.0001E-06NADC,294,294
5.426815748214722,4.433382,+0.0000E-06NADC,294,294
6.027656316757202,4.433388,+0.0001E-06NADC,294,294
6.627661466598511,4.433399,-0.0000E-06NADC,294,294
7.227727890014648,4.433402,+0.0001E-06NADC,294,294
7.828420162200928,4.43342,+0.0000E-06NADC,294,294
8.428718328475952,4.433423,+0.0001E-06NADC,294,294
9.02879548072815,4.433431,-0.0001E-06NADC,294,294
9.64896273612976,4.433437,-0.0000E-06NADC,294,294
