time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0010008811950683594,4.190836,+4.12377E-03NADC,294,294
0.5942199230194092,4.190842,+4.12378E-03NADC,294,294
1.1940152645111084,4.19085,+4.12379E-03NADC,294,294
2.174408435821533,4.190859,+4.12380E-03NADC,294,294
2.8151140213012695,4.190871,+4.12380E-03NADC,294,294
3.4356906414031982,4.190876,+4.12381E-03NADC,294,294
4.056070327758789,4.190879,+4.12381E-03NADC,294,294
4.6753034591674805,4.190885,+4.12381E-03NADC,294,294
5.299201965332031,4.190891,+4.12378E-03NADC,294,294
5.919105052947998,4.190906,+4.12386E-03NADC,294,294
6.539019584655762,4.190923,+4.12385E-03NADC,294,294
7.158651828765869,4.190932,+4.12386E-03NADC,294,294
7.778474807739258,4.190932,+4.12387E-03NADC,294,294
8.399113893508911,4.190946,+4.12388E-03NADC,294,294
9.018677949905396,4.190952,+4.12388E-03NADC,294,294
9.639470338821411,4.190952,+4.12388E-03NADC,294,294
