time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,1.385175,+125.6996E-06NADC,294,294
0.5999801158905029,1.385201,+125.7015E-06NADC,294,294
1.1798279285430908,1.385218,+125.7036E-06NADC,294,294
1.7801871299743652,1.385244,+125.7054E-06NADC,294,294
2.381643772125244,1.385256,+125.7075E-06NADC,294,294
2.982041597366333,1.385285,+125.7093E-06NADC,294,294
3.5825679302215576,1.385306,+125.7113E-06NADC,294,294
4.1831724643707275,1.38532,+125.7131E-06NADC,294,294
4.783420562744141,1.385343,+125.7149E-06NADC,294,294
5.383907318115234,1.385361,+125.7164E-06NADC,294,294
5.984370946884155,1.385375,+125.7181E-06NADC,294,294
6.584712982177734,1.385399,+125.7197E-06NADC,294,294
7.185765981674194,1.38541,+125.7213E-06NADC,294,294
7.805953741073608,1.385436,+125.7229E-06NADC,294,294
8.426157236099243,1.385442,+125.7246E-06NADC,294,294
9.047093868255615,1.38546,+125.7262E-06NADC,294,294
9.66696834564209,1.38548,+125.7274E-06NADC,294,294
