time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,1.385782,-0.0001E-06NADC,294,294
0.6303956508636475,1.385794,-0.0001E-06NADC,294,294
1.230794906616211,1.385809,-0.0007E-06NADC,294,294
1.8322997093200684,1.38582,+0.0003E-06NADC,294,294
2.4319851398468018,1.385841,-0.0004E-06NADC,294,294
3.031815528869629,1.385852,+0.0002E-06NADC,294,294
3.6327600479125977,1.38587,-0.0001E-06NADC,294,294
4.232458591461182,1.385876,+0.0000E-06NADC,294,294
4.83426570892334,1.38589,-0.0000E-06NADC,294,294
5.434638500213623,1.385905,-0.0002E-06NADC,294,294
6.034165859222412,1.385919,-0.0000E-06NADC,294,294
6.636128187179565,1.385934,-0.0000E-06NADC,294,294
7.235471487045288,1.38594,-0.0001E-06NADC,294,294
7.836372375488281,1.385957,-0.0002E-06NADC,294,294
8.436559677124023,1.385963,-0.0000E-06NADC,294,294
9.057758331298828,1.385977,+0.0002E-06NADC,294,294
9.676934003829956,1.385986,-0.0000E-06NADC,294,294
