time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,3.546787,+0.0003E-06NADC,294,294
0.5675826072692871,3.546787,-0.0004E-06NADC,294,294
1.3484344482421875,3.546784,+0.0001E-06NADC,294,294
1.9678430557250977,3.546793,+0.0007E-06NADC,294,294
2.588153600692749,3.546787,+0.0012E-06NADC,294,294
3.2075259685516357,3.546781,-0.0002E-06NADC,294,294
3.829115152359009,3.546784,-0.0006E-06NADC,294,294
4.450036525726318,3.54679,-0.0018E-06NADC,294,294
5.069056510925293,3.546793,+0.0003E-06NADC,294,294
5.689551830291748,3.546787,-0.0001E-06NADC,294,294
6.3098649978637695,3.546781,+0.0002E-06NADC,294,294
6.929890155792236,3.546781,+0.0006E-06NADC,294,294
7.549683332443237,3.546784,-0.0000E-06NADC,294,294
8.171099424362183,3.54679,-0.0000E-06NADC,294,294
8.790341138839722,3.546784,+0.0004E-06NADC,294,294
9.41054892539978,3.54679,-0.0006E-06NADC,294,294
