time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,4.458016,+0.440528E-03NADC,294,294
0.5978732109069824,4.458016,+0.440526E-03NADC,294,294
1.17811918258667,4.458018,+0.440529E-03NADC,294,294
1.7992944717407227,4.458021,+0.440530E-03NADC,294,294
2.399299383163452,4.458024,+0.440531E-03NADC,294,294
2.999281406402588,4.458033,+0.440531E-03NADC,294,294
3.600236654281616,4.458048,+0.440506E-03NADC,294,294
4.199996709823608,4.458048,+0.440533E-03NADC,294,294
4.80039119720459,4.45805,+0.440532E-03NADC,294,294
5.400669097900391,4.45805,+0.440531E-03NADC,294,294
6.001213312149048,4.458056,+0.440533E-03NADC,294,294
6.600426197052002,4.458059,+0.440532E-03NADC,294,294
7.202030420303345,4.458062,+0.440534E-03NADC,294,294
7.802303314208984,4.458071,+0.440534E-03NADC,294,294
8.402174949645996,4.458071,+0.440535E-03NADC,294,294
9.002772569656372,4.458074,+0.440535E-03NADC,294,294
9.602670907974243,4.458082,+0.440533E-03NADC,294,294
