time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,3.460347,+0.0037E-06NADC,294,294
0.772899866104126,3.460844,+0.0000E-06NADC,294,294
1.793886661529541,3.461318,+0.0000E-06NADC,294,294
2.813194513320923,3.46158,+0.0001E-06NADC,294,294
3.4324216842651367,3.46183,+0.0006E-06NADC,294,294
4.052709341049194,3.462066,+0.0004E-06NADC,294,294
4.672107458114624,3.462304,+0.0001E-06NADC,294,294
5.291714429855347,3.462517,+0.0001E-06NADC,294,294
5.911169052124023,3.462717,+0.0003E-06NADC,294,294
6.510739326477051,3.462915,-0.0000E-06NADC,294,294
7.111277341842651,3.463104,-0.0000E-06NADC,294,294
7.710493803024292,3.463281,-0.0000E-06NADC,294,294
8.310354232788086,3.463459,-0.0002E-06NADC,294,294
8.90971302986145,3.463633,-0.0000E-06NADC,294,294
9.510501623153687,3.463787,+0.0000E-06NADC,294,294
