time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,1.277405,+10.92656E-03NADC,294,294
1.6261200904846191,1.277242,+10.92537E-03NADC,294,294
2.647381544113159,1.277172,+10.92526E-03NADC,294,294
3.246988296508789,1.27694,+10.92331E-03NADC,294,294
4.68846583366394,1.276957,+10.92293E-03NADC,294,294
5.709847688674927,1.276817,+10.92746E-03NADC,294,294
6.329729795455933,1.277419,+10.92726E-03NADC,294,294
6.949921131134033,1.277504,+10.92900E-03NADC,294,294
7.570457220077515,1.277568,+10.92830E-03NADC,294,294
8.171156644821167,1.277562,+10.92919E-03NADC,294,294
8.79102349281311,1.277591,+10.92923E-03NADC,294,294
9.39159107208252,1.277611,+10.92933E-03NADC,294,294
9.99196982383728,1.277588,+10.92885E-03NADC,294,294
